label;cim;poem
csokonai;Az éjnek istenihez; Te csendes éjnek királynéja, Endímion szép barátnéja, Te ott a fél felhő megett! Ints hallgatást nárcisz pálcáddal, S halkán nyomd pamut-hintócskáddal A harmattól nyirkos eget.  Te is, főldünknek férje s bátyja, Míg a magánosság barátja, Coelus! terád bámészkodik, Tekints le milliom szemeddel S halld meg könyörűlő szíveddel, A hűség mint búslakodik.  Ti fájdalmim sokszor hallátok, Ti aggó éjjelem tudjátok, Tudjátok, mért nem alszom én. Ti láttátok, mely bús lélekkel, Mely bágyadtan s könnyes szemekkel Kesergettem Lilla nevén.  Ah! A Lilla mennyei szíve, Orcája, a kellemek míve, Megvarázsolta szívemet, És bár Ámor kohában élek. De tüzemről beszélni félek, Hogy meg ne vessen engemet.  Pedig tán nem indúlatja A nemes lángot bészívhatja, Vagy, óh, vagy tán már érez is. De hátha édes aggodalma Más boldogabbnak a jutalma? Óh, félek is, reménylek is.  Ti álomhintő istenségek! Kiknél az éji jelenségek Ezer formában lengenek, Míg öszvehajlott szempillái, Mint a tulipánt fályolkái, Testvéresen szendergenek:  Kűldjetek egy képet elébe, Ki, mint én, szíve kétségébe Halvány, bágyadt és hű legyen, És egybegyűlt sohajtásomnak Ködjébe burkolva, kínomnak Mélységéről vallást tegyen.  Vallja meg könnyező szemekkel, Rebegő nyelvvel, nyílt kezekkel, Hogy ő szép, és én szeretem. Akkor tán édes nyúgalmában Részt vévén a más fájdalmában, Ezt nyögi: Én is szeretem.  Óh, de tán most is álmot látok Óh, akkor, akkor példázzátok Előmbe szép bálványomat: Ah, mert bár eddig sok kín sértett, E kép, e mennyei kísértet Visszaigézi nyugtomat. 
csokonai;Az Ekhóhoz; Panaszaimat elegyes óhajtással Kettőztetem, óh! Jere velem az egeket jajgatással Kérni, bús Ekhó! Te vad havasok kősziklája, Te szomorú Ekhó hazája, Jajgass vissza reája! Panaszaimat elegyes óhajtással Kettőztetem, óh! Jer velem az egeket jajgatással Kérni, bús Ekhó! 
csokonai;A Dugonics oszlopa;  Az ő barátihoz és tisztelőihez   Mit? hát valójában láttam e szememmel, Vagy csak álom játszott képzelődésemmel? De hát álmodhatik oly tisztán valaki, Hogy a való képét íly nyilván lássa ki? - Nem, nem mert álmunkkal oda van mindenünk, Eltűnik árnyéka, mihelyt felserkenünk De én, amit láttam, arra úgy eszmélek, Mintha kísért volna egy mennyei lélek.  A magyar Hélikon virágos tövében, A szelíd múlatság híves mezejében Apró violákat s nefelejcset szedtem, Egy kis bokrétába tarkán egyengettem Víg énekecskéket, amint van szokásom, Danoltatott vélem nyájas andalgásom, Melyet egy zefirke, kerengvén lejtősön, A bokrokról visszasüvölte kettősön. A hegynek tetején, hová a szeretet S az édes vágyódás vélem felnézetett, Láttam, magam láttam... De mivelhogy nagyok A látások, és én kis éneklő vagyok: Te beszéld el, Klio! hogy raktak a kopott Kőmaradványokból egy dicső oszlopot? Kik rakták a hegynek tetején, és kinek? Hol már egy nagy oszlop állott Gyöngyösinek.  Egy nagy setét barlang egyedűl magában, Mély torkolattal áll a hegy oldalában. Porlott kövét lepte a régiség moha, Mintha még kéz sem lett volna rajta soha. Rakás maradványok puszta dűledékit Az idő fogai lassan tördelék itt. Sok mauzoléumnak itt tört le a feje, Eltemetve van sok temetésnek helye. Kevélykedtek hajdan sok tornyok, templomok, Melyeknek a porban alig van már nyomok. Láss itt sok örököt ígérő oszlopot, Melynek már a darab köve is elkopott. Kőhalom már, amit rakott Szemiramis, Kőhalom sok ezer kolosszus, piramis. Sok nagy nevek s becses érdemek egysorban Megvetve hevertek mohosan a porban. Sok vitézek, derék hérók itt valának, Agamemnon előtt akik virágzának. A feledékenység űlt ezek tetején, Vastag gyászos daróc volt burkolva fején Érzéketlen, némán, siketen és vakon Hevert a láb alá tapodott hamvakon Két kezét bágyadtan tevén két szemére, Bocsátotta gőzös fejét a térdére Egy homályos felhő, mely a mélységről jött, Körűlötte sűrű ködkárpitot szövött. - A néma hallgatás őrzi e barlangot És nem ereszt belé semmiféle hangot: Olykor, ha ide jut világunk lármája, Egy fél rekedt hangot ád a barlang szája De az is oly zavart, oly lassú és siket, Hogy már kettő közűl nem hallhatd egyiket. Az örökös álom, a halálnak bátyja, E környékre hideg szárnyait bocsátja. Az avúlt régiség magát itt hízlalja, Amit a századok szűltek, ő felfalja: Torka nagy, s még nagyobb gyomrában a verem, Melybe megy, valami a világon terem. Acél fogak márvány ínyében pengenek, Minden elmúlandót rakásra őrlenek. Minthogy ez hely a fényt éppen nem szenvedi, Az örök éjtől szőtt vastag szőnyeg fedi. Útja is mély vőlgyben vagyon s tekervényes, Igen omladékos, dudvás, szövevényes. Nem volt a Labirint oly tévelygős régen, Mely épűlt Krétában titkos mesterségen, Dédal annyi ezer vakos fordúlatot Ezer ösvényébe annak nem rakhatott, Mint amennyi öszvekevert tekervények Között tétováznak ebben az ösvények: Ténari öblei poklok üregének Oly kietlen ködbe tán nem kerengének, Amilyen homályba úszik e tartomány, Hol hamar eltéved maga a tudomány.  Itt láttam Dugonics lábainak nyomát, Hogy járta fel ezt a régiség templomát. Itt van pálcája is feltéve s lámpássa, Hogy amit ő már itt látott, más is lássa. Ezért érdemlette, hogy Hélikon hegyen E régi kövekből néki oszlop legyen, Melynek buzgó szívvel első talpot vetett A háládatosság s hazai szeretet. A feledékenység setét barlangjába Szedett követ ezek rakták fel sorjába, Melyet sok csókok közt a hív emlékezet Háláló könnyekkel öszvecémentezett S akkor a gráciák csínosra faragták És reá a szépség mázát bőven rakták. Egy babérkoszorút e nagy oszlop felett Trombitálva tartott az érdem s tisztelet. Mihelyt az oszlophoz közelebb eshettem, A darab köveket rendre nézegettem. Némelyik a Trója öszvetört falából Volt faragva, Párosz fejér márványából. Némelyeket köves sziklájából raka Bőlcs Uliszesének a sovány Ithaka. Sokon vésve látszott a kolkisi házon Argonautáival vitézkedő Jázon. Karjeli kőszálon volt metszve Etele, Etele és kedves Etelkája vele. Kún maradványok is közötte látszottak, Melyeket Lászlónak a kúnnék hordottak. Láttam még iszonyú nagyságú köveket, Tíz ember is alig bírná fel ezeket. Roppantak valának, mint amiket maga Hercules Abila- s Kalpénél faraga: Toldi állította ezeket magának, De már hasadásin bokrok származának. Két dicső szűz is volt, Bátori, Macskási, Amint mutatták a kövek mohodzási. Ezekből építék az oszlopot ezek A Dugonics hírét felépítő kezek. Sok helyen a kövön Árpád, Taksony, Zoltán Triumfált az idő elmúlandó voltán. Sok dicső őseink nevei új fényben Kezdettek ragyogni e nagy építményben. - Ezek között látszott, a főtiszteletű Dugonicsnak metszve, néhány arany betű, Melyet a hív magyar kezek így metszének: A HAZA DUGONICS ANDRÁS NAGY NEVÉNEK! Szemét sok hazafi könnyekkel áztatta, Sok hév indúlatok buzogtak alatta. Azok közt bennem is az öszveolvadott Szív sok háládatos könnyekre fakadott. Tiszteltem, nagy tudós! ennyi érdemedet, S hazafi csókokkal értetvén tégedet, A magyarok kegyes istenét imádtam, Hogy íly magyar szívű polgártársam láttam.  Áldjon is meg az ég, édes hazámfia! Zengjen Duna, Tisza, s minden magyar fia. Ezt kívántam néked meg ne szólj ezekkel A te érdemidhez illetlen versekkel. Én, mint Themistokles, oszlopodnál sírtam, És alá ez egy pár sorocskákat írtam: SZEMLÉLJÉTEK KÉSŐ UNOKÁNK FIAI! A NAGY DUGONICSNAK A HÍV CSOKONAI! 
csokonai;Az elmátrónásodott Dóris; Dóris! míg úgy virágzottál, Mint egy májusi szép fa, Bokrétákat ajánlottál Minden ifjú hajára.  Én is, más is szaggathattunk Rólad friss virágokat, Árnyékod alatt szíhattunk Újító balzsamokat.  De virág-hullta szépséged Hozván már gyümőlcsöket, Kerűlünk, óh Dóris, téged S álomtalan csőszödet.  Már most csak az ő számára Kell neked virítani Kacsi! a más almájára Számot sem kell tartani.  A szűz s mátróna a szemnek Vét más-más tekintetet. Tavasz van a szerelemnek, Hideg ősz a tisztelet.  Hajdan egy pillantásodra Mint kótogott kebelünk! Most már komoly virtusodra Bőlcs fázással ügyelünk.  Sovány lelkem titulussal Bé kell érni néked már. Kit mindennapos tónussal Férjed morog, úgyebár?  Az a boldog kor eszébe Asszonyságodnak jut-é, Midőn ledér szerelmébe Oly sok ifjú tégeté?  Dóris! Dóris! mit nem tettél Az én lágy szívembe is. Mi valál? de mivé lettél Szent jármod alatt te is!  Már bút terem barázdáján Asszonyságod homloka, Már karcsú nyakad símáján Hasat ereszt a toka.  Már, ahol domború voltál, Lapos vagy és négyszegű: Olyan állásra hajoltál, Mint a bőgő-hegedű.  Már cédrusa szép testednek Öles törzsök, nem súgár Egy pár narancsa mellyednek Sárgadinnye-forma már.  Dóris! Dóris! mivé lettél Szent jármod alatt te is! De mit? jaj, akit szerettél, Hanyatlani kezd az is.  Én is hanyatlok időmmel, És kergetlek tégedet Nékem is roskadt erőmmel Szivem meggémberedett.  Régi langom ellocsolta Cipris pajzán gyermeke, Virgonc kedvem elgázolta, Csak füstöl szövétneke.  Elmém is, mely hajdanában Az égnek tág boltjain Átlövellt egy minutában A Pégazus szárnyain.  Lassodik, s hogy megjárhassa A szomszédság vőlgyeit, Mankót fog és megolvassa Minden tippenéseit.  Most is, hogy tréfás versembe Játszhatnak még húrjaim, Az, hogy ti juttok eszembe, Régi kedves napjaim.  Sőt, Dóriskám! ha nem volna Párod, úgy áldjon az ég Szívem szívedhez hajolna, S megifjodnám egyszer még. 
csokonai;Az elragadtatott érzékenységek; Laura! kellemességidnek És mosolygó szépségidnek Fűszerszámos balzsama Érzésimet megszédíté, Megbájolá, részegíté, S egy perre borsolta ma.  Köztök nagy perlés lázzadott, Melyet az abból támadott Szent dicsőség okoza, Hogy melyik az, ki tégedet Megérezvén, felébredett S nékik ennyi jót hoza.  Mindenik nagy hevességgel Perlett, hogy e dicsőséggel Bírjon a többek felett. Ilyformán szóltak egymásnak, Míg e heves civódásnak Lelkem által vége lett.  Szaglás  Tudjátok-é, hogy magatok Más felé andalogtatok, Más tárgyon szúnyókálva: Mikor a táncnak őltözött Szépség leányai között Laura eljött sétálva.  Mikor egy - - us mellett Egy kis szellő rámlehellett, Ambróziás illattal. Melyet mihelyt megérzettem: - - - - - -lettem Édes csiklándozattal.  Látás  Elsőben is mély álomból, Tévelygő andalgásomból Nemde én pattanék ki? Látták éles nyilaimat, Villámló pillantásimat E kis berek vidéki.  Míg tüzes szemem sokára Ráakadt a szép Laurára, S féloldalt reácsapott. Ah, mikor a több szem között Látásunk öszveütközött S egymástól lángot kapott!  Ah, mikor új pillantása S elevenebb kacsíntása Kétszer az enyímre lőtt! Bezzeg, eloszlott álmatok Bezzeg mind felpattantatok, Nem túnyán, mint azelőtt.  Zefir játszván szép hajain, Elefánttetem vállain, Mely szép színeket adtak! Rózsát mosolygó ajaka, Hószín mellye, márvány nyaka, Ah, miként elragadtak!  Hallás  Hát mikor mély sóhajtása S bágyadt hangon tett szólása Ébredt fülembe hatott? Édes ájúlás lepett el, Mely egy mennyei élettel Kecsegtetett, biztatott.  Mikor mellé ereszkedtünk, S végre, - hogy sok kérést tettünk, - Ezt mondotta: szeretek , Ah, e szóra vérünk égett, És minden elevenséget Ti is levetkeztetek.  Mikor mézes beszédére Örök hűséget ígére, S Ily bíztató hangon szólt: Szeretlek! téged kedvellek, Csak néked élek s lehellek Míg be nem fed a sírbólt!  Akkor, - óh, mert e szavának Oly édességi valának, Hogy élet ömlött belénk! - Egy legédesebb mennyei Öröm gyönyörködései Repestek vígan felénk.  Mikor kedvesének mondott, Elvett minden bút és gondot Ez az édes nevezet, S hízelkedő beszédének Mézén lecsorgó szívének Mindnyájunk temjénezett.  Tapintás  Közte e temjénezésnek S e mennyei ihletésnek Kezeim felemelém És jótételét hálálván, Ez imádni méltó bálván Szent testét megölelém. -  Óh, halhatatlan istenek! Mit érzettem? - ah, milyenek Vóltak gyenge tagjai! Melyek hogy reám hajóltak, Nálok gyengébbek nem vóltak A rózsa harmatjai.  Mellyét Érósznak melege Olvasztván, gyengén pihege Két kerek dombja alatt. Kezemet tévén szívére, Sűrűn vert, és minden vére Hozzám örömmel szaladt.  Mint a hó a nap tüzétől: Úgy az ő hév szerelmétől Mind elolvadva valánk Életünk belé kőltözött, S ölelő karjai között E világnak meghalánk!  Ízlés  Mit ér a szép gyümőlcs maga, Bár síma, s jó színe, szaga, Ha nincs íze, mely tessen? Ti csak Laura szépségére Bámúltatok, méz ízére Nem ügyelvén szemessen.  Nincs a nektár olyan édes, Melyet kitőlt Ganimédes Jupiter csészéjébe Óh, nem bír az annyi jókkal, Ha csak ezt egy ilyen csókkal Nem egyvelíti Hébe.  Ilyen ízzel nem kínálja Gazdag lakosit Pankhája S más termékeny tartomány: Még Ily étele s itala Egy nagy királynak sem vala. Óh, mennyei adomány!  Óh, méznél édesb ajakok! Mely ambróziát folytatok Rózsaszín kelyhetekből! Mely mézes csókok valának, Melyeket kőlcsön szopának Hév ajakim ezekből!  Csömört ád az édes, ha sok: De ezek nem únalmasok, Ez nem olyan édesség. Óh, Laura! szám appetitját Ne csald meg ne tarts diétát Óh, nincs ebbe sok s elég!  Lelkem  Mit cívódtok? óh, szűnjetek, Híveim! mit versengetek? - Csak Laurát imádjátok. Lebegjetek gyönyörűség Szárnyain s az örök hűség Pontjára mozgassátok. 
csokonai;Az elszánt szerető; Semmivé kell lennem! A nemlétel hív. Gémberedj meg bennem, Roncsolt szív! Jobb, hogy a dögférgek Szétmarcongjanak, Mint e belső mérgek Rágjanak. Óh, miért születtem! Vagy miért szerettem! Vagy mért élek! Jaj, fuss a szépektől, Mint a tigrisektől, Jámbor lélek! Én is egyszer képzésemnek Meghódoltam, Két hihető szemnek Rabja voltam.  Válj bennem epévé, Hajdan édes hang! Gyúlj pokol tüzévé, Kedvelt lang. S akiért így élem Bús világom még, Vágd ki együtt vélem, Bosszús ég! Mért kívánjak élni? Élni s nem remélni? - Hogy búm nőjjön? - Nem! - s ha halni mégyek: Hogy magam ne légyek, Ő is jőjjön! Hogy ott csalfa praktikáját Kitruccoljam És hitszegő száját - Megcsókoljam. 
csokonai;Az eltávozás; Távol vagy tetőled, Óh életem reménye! Óh Lilla, főldi angyal, Távol vagyok tetőled!  Elhagytalak, galambom, El - s ah! talán örökre Miólta oly sok édes Csókok között utólszor Búcsút vevék tetőled, Ím, vissza én se mentem, Te is hiába vártál.  De bezzeg aki Lillát Elhagyta - ah, ha látnád, - Elhagyta ám magát is! El - s ah, talán örökre. 
csokonai;Az eltévedt lélek; Ah! hová repűltél, Lelkem, s mely felé? Lilla száján űltél: Hol vagy? ott vagy-é?  Annyi sok csókokban, Ah, hova levél? Ott vagy-é? azokban Senki meg nem lél.  Látom már azokb' a Bíborokba űlt S a habzó csókokba Torkig elmerűlt.  Ott evez sietve A partok felé. Kis nyilát nevetve Nyújtja Ámor bé.  Ennek szálacskáján Már a partra ért S a partok rózsáján Nyúgalomra tért.  S tán por-sátoromba Már belé se jő: A paradicsomba, Abba alszik ő.  Lágy sohajtozások! Melyeken eltűnt, Míg a csókolások Árja meg nem szűnt,  Ah, legyezgessétek, Míg ott andalog, Lengve rengessétek, Míg nyúgodni fog. 
csokonai;Az elválás reggelén; Távollétembe Képedet szívembe Szent bélyegűl viselem, Ne légy, szép érzékeny, Te is feledékeny, Legalább álmodj velem. 
csokonai;Az embergyűlölő; Azt beszéli Timon, hogy ő mind egyaránt Gyűlöl minden embert s még senkit meg nem szánt. Melyre mások könnyű választ feleltenek, No tehát őtet is gyűlölik mindenek. 
csokonai;Az emberiség s a szeretet; Felfogadtam száz-meg-százszor, Nem fogok szeretni másszor Felfogadtam, semmi lyány Rabbilincsre már nem hány.  Azt mondám, bolond is voltam, Hogy szerelmekhez hajoltam: Azt is mondám, mind bolond, Aki rólok le nem mond.  Felfogadtam, hogy míg élek, Egy asszonnyal sem beszélek S bár Heléna volna is, Még sem kapnék rajta is.  Gyűlölöm minden nemével, Bájoló tekintetével, Gyűlölöm! - Mind csalfa kép, S még talán csalfább, ha szép.  Felfogadtam mindenekre, Rá se nézek őkemekre Mert mind vesztembe kerűl. - Meg is álltam emberűl.  Jaj, de fojtó únalommal Bánat szálla rám egynyommal, S a szerelmes kény helyett Gyűlölség foglalt helyet.  A barátság s kedv megszűnék, Tréfa, nyájasság eltűnék Csak setétes gondolat Vont körűltem gőzfalat.  Csak rettentő képzelések, Csak kegyetlen érezések Ostromolták lelkemet, Úgy gyötörtek engemet.  Semmi virtust nem kerestem Embergyűlölésbe estem, S már egészen ellepe Lelkestől a sárepe.  Már az elmém is tompúla És csak - csak kevésbe múla, Hogy fejembe nem lövék. - Mégis elmémhez jövék.  Légyen hálá! észrevettem, Hogy bolondgombákat ettem. S felkiálték: "Grácia! Megbocsáss, szép Cipria!"  Jertek, óh angyal-személyek, Hogy megint, mint ember, éljek! Elvetettem pisztolom - Szép orcátok csókolom.  Véletek hát szívet váltok, Szép embernék, s így kiáltok: "Mind bolond, ki nem szeret, Vágasson magán eret!" 
csokonai;Az emésztő tűz; Az égető kutyácska A zőld mezőt aszalta, S alatta Flóra hímes Virági haldokoltak Fonnyadtak a ligetnek Zőldségi megkonyúlva: A főld egész határi Alélva bágyadának.  Énbennem is van egy tűz, Mondják, hogy az Cupídó Én nem tudom, ki légyen, Nem esmerem nevéről Elég, hogy ég melyemben S olvasztja nagy tüzével: Szemlátomást betegszem És már alig lehellek.  Tegnap leszálla csendes Cseppekkel egy esőcske, Megáztatá az erdőt És a mezőt vizével: S ím, a beteg virágok Mindjárt feléledének, S a hervadó levélkék Új életet kapának. -  Óh, vajha énreám is, Az én alélt fejemre Egy ilyen éltető víz Hűs cseppje harmatozna! 
csokonai;Az én címerem; Kérded, kedves emberem, E titok mi részbe áll, Hogy legkedvesb címerem Egy elharvadt rózsaszál: Én egy rózsát kedvelék, Benne nagy kedvet lelék: Jaj, de ő elhervadott S nékem íly címert adott. 
csokonai;A Duna nimfája; Amott egy nyárfa hívesében, A fűzfa közt, Találni a sziget mentében Egy tiszta közt.  Itt a vad faunok irtoványi Megtetszenek: Az ősz Dunának szép leányi Itt fördenek.  Gyakorta a habok tapsolnak Játékokon, S körűltök a pintyek danolnak A bokrokon. -  Itt förde Lilla is magába, S az istenek Az égről e barlangocskába Lenéztenek.  A szép halandó a vizekből A gyepre szállt. Bámúlja Zeus a fellegekből És felkiált:  "Haj, istenek! mely szép halandó Jön ott elő, Mint amidőn a támadandó Nap mosdva jő.  Hószin vállán miként lebegnek Szeg-fürtjei, Görögvén rólok a vizeknek Sík gyöngyei.  Csak egy hibát remek tagjába Lelhetni-é? Nem szebb-é síma karja, lába, Mint Vénusé?  Kár, hogy nem nézhetünk szemére - De erre jő - Mely szép! Most, most - egek! Citére! Szebb nálad ő."  És nála minden szebbnek mondja Az én tüzem: Csak Vulkán, a Vénus bolondja, És Mómus nem. 
